('Delta Air Lines', '2020-09-11T10:57', '2020-09-12T02:04', '907', '7183', '500', 'DL 144', 'E-170', '240', '6', '13'), 
('Air Canada', '2020-06-27T01:33', '2020-06-28T01:36', '1443', '4462', '500', 'AC 607', 'E-170', '375', '6', '29'), 
('British Airways', '2020-11-17T13:34', '2020-11-18T16:27', '1613', '8626', '500', 'BA 1613', 'A350', '472', '3', '23'), 
('Finnair', '2020-08-18T04:35', '2020-08-18T11:00', '385', '5198', '300', 'FA 220', 'Boeing 777', '575', '13', '5'), 
('Norwegian', '2020-06-11T18:06', '2020-06-12T17:07', '1381', '1617', '500', 'NW 580', 'A340', '532', '15', '20'), 
('Air Canada', '2020-02-20T01:12', '2020-02-21T16:48', '2376', '6051', '200', 'AC 1879', 'CRJ900', '500', '9', '20'), 
('Norwegian', '2020-03-29T18:17', '2020-03-30T12:44', '1107', '5617', '500', 'NW 1095', 'Boeing 787', '362', '21', '18'), 
('Air Canada', '2020-05-12T17:56', '2020-05-12T21:46', '230', '1544', '500', 'AC 1024', 'A321', '128', '15', '25'), 
('JetBlue Airways', '2020-09-11T01:13', '2020-09-12T09:38', '1945', '9281', '300', 'B6 955', 'SR-71 Blackbird', '593', '18', '9'), 
('Air Canada', '2020-11-07T21:54', '2020-11-07T23:02', '68', '1229', '500', 'AC 291', 'A220', '83', '5', '13'), 
('WOW Air', '2020-03-03T04:58', '2020-03-04T23:17', '2539', '8521', '300', 'WA 967', 'A350', '100', '2', '14'), 
('British Airways', '2020-01-15T18:40', '2020-01-16T01:37', '417', '651', '1000', 'BA 654', 'A380', '93', '27', '5'), 
('Alaska Airlines', '2020-11-10T19:56', '2020-11-11T04:10', '494', '6055', '500', 'AS 903', 'Boeing 767', '376', '26', '5'), 
('Air Canada', '2020-01-02T06:10', '2020-01-03T05:38', '1408', '2292', '300', 'AC 1934', 'CRJ705', '526', '21', '27'), 
('Alaska Airlines', '2020-12-07T01:09', '2020-12-08T21:12', '2643', '2485', '1000', 'AS 584', 'A320', '276', '19', '21'), 
('Finnair', '2020-08-18T20:12', '2020-08-19T02:50', '398', '2452', '300', 'FA 361', 'E-170', '599', '4', '9'), 
('Air Canada', '2020-07-06T20:42', '2020-07-06T23:46', '184', '1161', '500', 'AC 1522', 'E-175', '535', '8', '6'), 
('Alaska Airlines', '2020-03-21T19:16', '2020-03-21T23:04', '228', '3406', '500', 'AS 1694', 'Boeing 767', '277', '6', '15'), 
('Air Canada', '2020-08-08T16:08', '2020-08-09T22:13', '1805', '7538', '1000', 'AC 181', 'CRJ700', '526', '11', '15'), 
('SAS', '2020-06-23T04:57', '2020-06-23T08:03', '186', '841', '500', 'SA 981', 'A220', '117', '27', '1'), 
('American Airlines', '2020-04-28T07:11', '2020-04-29T19:01', '2150', '3818', '500', 'AA 734', 'A321', '279', '6', '20'), 
('British Airways', '2020-02-26T01:48', '2020-02-27T23:03', '2715', '2707', '300', 'BA 1062', 'E-195', '439', '6', '29'), 
('Delta Air Lines', '2020-09-15T04:29', '2020-09-15T15:14', '645', '1058', '1000', 'DL 748', 'A330', '91', '22', '16'), 
('Finnair', '2020-10-21T18:04', '2020-10-22T07:13', '789', '7412', '500', 'FA 356', 'A318', '251', '19', '10'), 
('SAS', '2020-02-09T21:32', '2020-02-09T23:22', '110', '1201', '300', 'SA 499', 'A320', '87', '2', '25'), 
('JetBlue Airways', '2020-11-08T15:42', '2020-11-08T22:10', '388', '8840', '500', 'B6 322', 'CRJ900', '391', '5', '10'), 
('Finnair', '2020-09-08T15:29', '2020-09-09T13:29', '1320', '8235', '300', 'FA 1933', 'A320', '489', '7', '6'), 
('Frontier Airlines', '2020-09-22T18:02', '2020-09-23T12:37', '1115', '6163', '200', 'F9 811', 'Boeing 777', '569', '10', '3'), 
('Norwegian', '2020-02-27T06:47', '2020-02-28T07:12', '1465', '8588', '1000', 'NW 565', 'E-190', '64', '2', '3'), 
('Finnair', '2020-09-02T17:16', '2020-09-02T19:39', '143', '3578', '1000', 'FA 1223', 'CRJ1000', '234', '1', '13'), 
('JetBlue Airways', '2020-07-21T23:51', '2020-07-22T17:32', '1061', '8922', '1000', 'B6 908', 'Boeing 787', '434', '15', '3'), 
('Lufthansa', '2020-03-19T18:43', '2020-03-19T23:43', '300', '4798', '1000', 'LH 248', 'CRJ1000', '483', '2', '28'), 
('Air Canada', '2020-06-08T06:34', '2020-06-09T16:03', '2009', '9058', '300', 'AC 1943', 'A330', '520', '2', '15'), 
('JetBlue Airways', '2020-07-23T17:37', '2020-07-23T20:45', '188', '7955', '500', 'B6 1225', 'E-170', '278', '28', '21'), 
('Lufthansa', '2020-04-25T10:15', '2020-04-25T16:36', '381', '1786', '200', 'LH 403', 'E-195', '146', '28', '14'), 
('Finnair', '2020-05-11T21:19', '2020-05-11T23:58', '159', '2752', '500', 'FA 1117', 'Boeing 737', '181', '12', '11'), 
('American Airlines', '2020-07-21T09:30', '2020-07-22T09:44', '1454', '7294', '300', 'AA 495', 'Boeing 777', '291', '15', '12'), 
('Alaska Airlines', '2020-02-20T04:19', '2020-02-21T21:42', '2483', '8296', '300', 'AS 1637', 'A320', '333', '23', '11'), 
('Air Canada', '2020-05-28T01:16', '2020-05-29T16:17', '2341', '653', '300', 'AC 529', 'Boeing 787', '159', '3', '13'), 
('WOW Air', '2020-04-02T04:53', '2020-04-03T18:04', '2231', '3110', '300', 'WA 1352', 'E-190', '513', '7', '28'), 
('Frontier Airlines', '2020-07-10T14:48', '2020-07-11T21:54', '1866', '1090', '500', 'F9 1458', 'E-195', '76', '0', '3'), 
('Lufthansa', '2020-06-04T14:12', '2020-06-05T08:56', '1124', '6713', '200', 'LH 405', 'A350', '402', '24', '16'), 
('Finnair', '2020-10-10T12:22', '2020-10-10T19:32', '430', '1783', '1000', 'FA 1659', 'A220', '142', '19', '23'), 
('Norwegian', '2020-12-18T18:38', '2020-12-18T23:31', '293', '3727', '500', 'NW 297', 'A319', '58', '1', '22'), 
('Norwegian', '2020-10-12T15:03', '2020-10-12T18:03', '180', '6263', '300', 'NW 781', 'A320', '271', '9', '1'), 
('Finnair', '2020-05-02T08:43', '2020-05-03T01:04', '981', '1571', '300', 'FA 182', 'CRJ705', '441', '24', '1'), 
('Lufthansa', '2020-06-16T08:43', '2020-06-16T15:32', '409', '8282', '1000', 'LH 347', 'A319', '267', '9', '18'), 
('JetBlue Airways', '2020-08-20T07:55', '2020-08-20T15:27', '452', '5388', '500', 'B6 202', 'E-170', '289', '11', '9'), 
('Frontier Airlines', '2020-04-03T19:43', '2020-04-04T06:53', '670', '4158', '1000', 'F9 1654', 'A220', '532', '10', '27'), 
('Norwegian', '2020-04-19T11:04', '2020-04-19T16:55', '351', '7018', '500', 'NW 1135', 'CRJ700', '474', '16', '14'), 
('JetBlue Airways', '2020-02-29T23:26', '2020-02-29T24:06', '40', '6781', '1000', 'B6 1502', 'Boeing 767', '185', '19', '21'), 
('Frontier Airlines', '2020-09-16T04:42', '2020-09-17T09:17', '1715', '5183', '200', 'F9 168', 'A320', '155', '6', '3'), 
('Lufthansa', '2020-11-18T04:10', '2020-11-18T15:49', '699', '7240', '300', 'LH 330', 'A320', '599', '10', '23'), 
('SAS', '2020-11-13T07:16', '2020-11-14T22:56', '2380', '5897', '200', 'SA 1249', 'A220', '290', '19', '20'), 
('JetBlue Airways', '2020-07-05T07:43', '2020-07-05T14:55', '432', '5178', '300', 'B6 463', 'E-175', '397', '26', '13'), 
('SAS', '2020-04-08T09:10', '2020-04-09T16:13', '1863', '1369', '300', 'SA 1435', 'E-195', '549', '27', '19'), 
('Frontier Airlines', '2020-10-27T18:14', '2020-10-27T22:27', '253', '1790', '500', 'F9 1033', 'Boeing 737', '283', '8', '27'), 
('SAS', '2020-03-06T06:12', '2020-03-06T21:47', '935', '1256', '300', 'SA 396', 'A220', '269', '26', '18'), 
('Delta Air Lines', '2020-11-26T07:07', '2020-11-27T05:47', '1360', '6145', '200', 'DL 260', 'A220', '82', '0', '5'), 
('JetBlue Airways', '2020-10-25T06:38', '2020-10-25T11:24', '286', '4228', '500', 'B6 1911', 'A319', '211', '27', '5'), 
('SAS', '2020-08-21T03:22', '2020-08-22T10:08', '1846', '4159', '300', 'SA 312', 'CRJ900', '261', '0', '1'), 
('SAS', '2020-08-04T12:14', '2020-08-04T22:05', '591', '9490', '300', 'SA 591', 'A321', '528', '26', '22'), 
('Air Canada', '2020-07-17T00:22', '2020-07-18T14:24', '2282', '7274', '300', 'AC 386', 'E-195', '68', '21', '29'), 
('Frontier Airlines', '2020-04-21T15:29', '2020-04-22T13:54', '1345', '1012', '500', 'F9 928', 'A320', '485', '28', '27'), 
('SAS', '2020-05-16T16:42', '2020-05-16T20:09', '207', '4537', '500', 'SA 1549', 'Boeing 737', '504', '27', '20'), 
('Norwegian', '2020-06-13T22:04', '2020-06-14T19:20', '1276', '1706', '1000', 'NW 135', 'A321', '185', '6', '26'), 
('Frontier Airlines', '2020-01-18T03:23', '2020-01-18T14:02', '639', '6969', '200', 'F9 255', 'E-175', '128', '1', '7'), 
('Finnair', '2020-12-28T00:25', '2020-12-29T12:53', '2188', '8350', '300', 'FA 111', 'A300', '380', '6', '19'), 
('Alaska Airlines', '2020-03-09T14:47', '2020-03-10T13:36', '1369', '9357', '500', 'AS 611', 'E-175', '584', '6', '24'), 
('JetBlue Airways', '2020-04-27T18:54', '2020-04-28T04:59', '605', '7786', '500', 'B6 1082', 'E-175', '600', '18', '8'), 
('Frontier Airlines', '2020-02-09T15:45', '2020-02-09T22:31', '406', '2458', '300', 'F9 198', 'Boeing 747', '413', '12', '16'), 
('Frontier Airlines', '2020-08-08T12:10', '2020-08-08T16:46', '276', '4260', '500', 'F9 224', 'CRJ705', '402', '3', '19'), 
('Air Canada', '2020-02-26T01:44', '2020-02-26T12:46', '662', '4026', '300', 'AC 1066', 'Boeing 737', '398', '4', '20'), 
('Lufthansa', '2020-12-25T02:23', '2020-12-25T10:24', '481', '797', '500', 'LH 812', 'Boeing 767', '432', '8', '23'), 
('Finnair', '2020-06-03T20:05', '2020-06-04T18:46', '1361', '5882', '300', 'FA 1135', 'E-190', '184', '26', '9'), 
('Air Canada', '2020-01-23T06:13', '2020-01-24T22:28', '2415', '578', '300', 'AC 1828', 'CRJ705', '558', '17', '8'), 
('Alaska Airlines', '2020-12-04T09:57', '2020-12-04T12:46', '169', '2618', '200', 'AS 358', 'Boeing 737', '337', '15', '25'), 
('SAS', '2020-05-03T00:45', '2020-05-04T11:43', '2098', '9172', '1000', 'SA 1394', 'Boeing 737', '532', '1', '20'), 
('Norwegian', '2020-02-22T09:19', '2020-02-23T20:40', '2121', '5262', '300', 'NW 1261', 'Boeing 777', '183', '10', '18'), 
('British Airways', '2020-06-21T23:49', '2020-06-22T11:57', '728', '1446', '300', 'BA 1237', 'A320', '351', '6', '12'), 
('JetBlue Airways', '2020-02-14T03:40', '2020-02-15T12:07', '1947', '4541', '500', 'B6 761', 'A350', '364', '24', '18'), 
('British Airways', '2020-04-18T07:38', '2020-04-18T15:40', '482', '7043', '300', 'BA 1593', 'A320', '409', '4', '24'), 
('Air Canada', '2020-09-22T22:45', '2020-09-22T23:22', '37', '8005', '1000', 'AC 873', 'A320', '557', '4', '27'), 
('Alaska Airlines', '2020-06-10T21:03', '2020-06-11T14:44', '1061', '9822', '300', 'AS 1030', 'Boeing 747', '261', '11', '21'), 
('Finnair', '2020-07-02T05:03', '2020-07-02T10:18', '315', '9069', '300', 'FA 1918', 'A220', '508', '14', '22'), 
('Air Canada', '2020-06-24T06:44', '2020-06-25T14:57', '1933', '4551', '500', 'AC 1647', 'A340', '139', '14', '18'), 
('British Airways', '2020-02-08T01:49', '2020-02-09T03:05', '1516', '5623', '500', 'BA 1256', 'A380', '136', '9', '22'), 
('Air Canada', '2020-06-20T20:25', '2020-06-20T23:18', '173', '4346', '300', 'AC 1167', 'A220', '567', '8', '3'), 
('WOW Air', '2020-05-15T16:07', '2020-05-16T14:24', '1337', '4129', '500', 'WA 308', 'A380', '233', '10', '25'), 
('Lufthansa', '2020-11-23T14:30', '2020-11-24T16:20', '1550', '2280', '300', 'LH 1454', 'A319', '194', '2', '15'), 
('Alaska Airlines', '2020-01-06T21:52', '2020-01-06T23:37', '105', '9566', '200', 'AS 1984', 'CRJ705', '585', '5', '15'), 
('American Airlines', '2020-06-18T08:53', '2020-06-18T11:26', '153', '8559', '500', 'AA 271', 'Boeing 737', '236', '26', '2'), 
('Frontier Airlines', '2020-07-01T18:03', '2020-07-01T21:37', '214', '7604', '500', 'F9 1894', 'E-195', '579', '19', '7'), 
('Air Canada', '2020-09-07T18:15', '2020-09-08T15:21', '1266', '3836', '300', 'AC 311', 'CRJ705', '163', '4', '14'), 
('JetBlue Airways', '2020-06-01T16:01', '2020-06-01T22:53', '412', '7685', '1000', 'B6 798', 'A318', '522', '18', '9'), 
('Air Canada', '2020-02-20T22:53', '2020-02-20T23:39', '46', '5768', '300', 'AC 1980', 'E-170', '333', '27', '25'), 
('Lufthansa', '2020-09-05T17:37', '2020-09-05T21:31', '234', '6105', '500', 'LH 1198', 'E-195', '316', '3', '15'), 
('British Airways', '2020-09-23T09:13', '2020-09-23T14:50', '337', '8408', '500', 'BA 1356', 'A321', '470', '12', '22'), 
('Finnair', '2020-11-24T20:55', '2020-11-25T22:55', '1560', '7954', '1000', 'FA 1475', 'A319', '169', '16', '25'), 
('British Airways', '2020-01-26T01:10', '2020-01-27T07:08', '1798', '5459', '300', 'BA 1829', 'Boeing 767', '330', '12', '7'), 
('WOW Air', '2020-10-28T13:51', '2020-10-28T21:09', '438', '9896', '1000', 'WA 1578', 'E-175', '332', '18', '29'), 
('SAS', '2020-04-09T04:45', '2020-04-09T15:31', '646', '7671', '200', 'SA 969', 'A310', '500', '9', '11'), 
('Air Canada', '2020-04-18T04:02', '2020-04-19T20:59', '2457', '2213', '500', 'AC 602', 'Boeing 747', '167', '2', '20'), 
('Delta Air Lines', '2020-10-23T10:36', '2020-10-24T08:40', '1324', '6253', '300', 'DL 1163', 'Boeing 737', '281', '14', '16'), 
('Frontier Airlines', '2020-08-14T13:40', '2020-08-14T20:03', '383', '1614', '200', 'F9 970', 'Boeing 737', '297', '16', '6'), 
('Alaska Airlines', '2020-11-08T08:14', '2020-11-08T16:41', '507', '7762', '500', 'AS 161', 'Boeing 777', '264', '20', '16'), 
('British Airways', '2020-06-03T01:17', '2020-06-03T05:17', '240', '7095', '300', 'BA 1589', 'E-175', '91', '28', '8'), 
('Air Canada', '2020-03-10T22:13', '2020-03-10T24:13', '120', '1743', '200', 'AC 1406', 'A340', '459', '3', '25'), 
('Finnair', '2020-01-10T21:17', '2020-01-11T05:02', '465', '7861', '1000', 'FA 1581', 'Boeing 767', '200', '17', '8'), 
('JetBlue Airways', '2020-09-18T10:14', '2020-09-18T23:46', '812', '4278', '300', 'B6 599', 'A321', '458', '9', '24'), 
('SAS', '2020-06-19T00:23', '2020-06-19T02:28', '125', '1227', '1000', 'SA 182', 'A310', '444', '19', '18'), 
('JetBlue Airways', '2020-06-06T07:30', '2020-06-07T16:49', '1999', '9425', '300', 'B6 945', 'A321', '491', '17', '13'), 
('Finnair', '2020-06-16T11:46', '2020-06-16T20:31', '525', '8918', '300', 'FA 322', 'A330', '283', '7', '5'), 
('Norwegian', '2020-05-08T06:57', '2020-05-08T15:44', '527', '8293', '500', 'NW 120', 'CRJ705', '498', '4', '17'), 
('Alaska Airlines', '2020-05-07T12:27', '2020-05-07T17:15', '288', '6869', '500', 'AS 1933', 'A350', '90', '28', '26'), 
('JetBlue Airways', '2020-06-08T08:26', '2020-06-08T20:34', '728', '3244', '1000', 'B6 1712', 'CRJ700', '149', '5', '25'), 
('Finnair', '2020-01-11T07:23', '2020-01-12T16:11', '1968', '4992', '500', 'FA 1910', 'E-175', '146', '15', '21'), 
('Alaska Airlines', '2020-02-08T03:16', '2020-02-09T15:50', '2194', '2217', '1000', 'AS 1264', 'CRJ700', '185', '27', '12'), 
('Air Canada', '2020-03-14T10:24', '2020-03-14T16:15', '351', '8990', '500', 'AC 1448', 'E-175', '434', '29', '8'), 
('British Airways', '2020-11-15T18:54', '2020-11-16T09:14', '860', '9765', '300', 'BA 453', 'A319', '254', '21', '28'), 
('British Airways', '2020-09-15T05:33', '2020-09-15T12:13', '400', '7673', '500', 'BA 1724', 'Boeing 767', '121', '6', '4'), 
('Delta Air Lines', '2020-07-10T09:25', '2020-07-11T09:37', '1452', '1575', '500', 'DL 632', 'A318', '380', '6', '26'), 
('American Airlines', '2020-01-06T22:18', '2020-01-07T21:18', '1380', '7855', '300', 'AA 114', 'A320', '190', '9', '16'), 
('Air Canada', '2020-11-14T20:49', '2020-11-14T22:54', '125', '9327', '200', 'AC 1258', 'CRJ900', '598', '7', '19'), 
('British Airways', '2020-07-21T10:03', '2020-07-21T19:09', '546', '7811', '500', 'BA 872', 'A319', '359', '28', '27'), 
('British Airways', '2020-02-25T08:08', '2020-02-26T04:07', '1199', '4074', '300', 'BA 915', 'Boeing 767', '154', '10', '21'), 
('WOW Air', '2020-12-11T09:54', '2020-12-12T13:12', '1638', '8473', '200', 'WA 1261', 'Boeing 737', '486', '28', '6'), 
('Alaska Airlines', '2020-02-19T02:35', '2020-02-20T17:09', '2314', '3787', '500', 'AS 909', 'Boeing 787', '468', '12', '1'), 
('American Airlines', '2020-04-03T19:39', '2020-04-03T21:54', '135', '2527', '500', 'AA 1515', 'A300', '271', '16', '2'), 
('JetBlue Airways', '2020-10-04T21:34', '2020-10-05T19:45', '1331', '4611', '500', 'B6 1659', 'A321', '66', '21', '12'), 
('Frontier Airlines', '2020-09-04T20:16', '2020-09-05T21:29', '1513', '6242', '500', 'F9 1293', 'CRJ700', '434', '5', '20'), 
('Finnair', '2020-11-06T23:37', '2020-11-06T24:10', '33', '1273', '200', 'FA 1165', 'Boeing 737', '236', '6', '20'), 
('British Airways', '2020-01-23T05:48', '2020-01-23T14:37', '529', '2907', '300', 'BA 190', 'CRJ705', '116', '26', '29'), 
('JetBlue Airways', '2020-04-08T02:16', '2020-04-08T23:48', '1292', '6000', '1000', 'B6 1031', 'Boeing 747', '148', '29', '17'), 
('SAS', '2020-11-11T15:29', '2020-11-12T20:29', '1740', '2934', '200', 'SA 1442', 'CRJ705', '588', '24', '15'), 
('JetBlue Airways', '2020-03-29T22:48', '2020-03-30T08:42', '594', '9765', '200', 'B6 837', 'CRJ1000', '343', '23', '16'), 
('Finnair', '2020-03-15T20:18', '2020-03-15T23:37', '199', '5364', '300', 'FA 826', 'A380', '164', '17', '28'), 
('Alaska Airlines', '2020-10-05T05:03', '2020-10-05T08:58', '235', '9728', '1000', 'AS 1767', 'Boeing 777', '273', '11', '25'), 
('Norwegian', '2020-06-23T12:11', '2020-06-24T12:42', '1471', '5441', '300', 'NW 1421', 'A300', '280', '19', '16'), 
('Finnair', '2020-05-21T05:10', '2020-05-21T12:29', '439', '8003', '1000', 'FA 1468', 'A310', '111', '7', '1'), 
('WOW Air', '2020-05-29T19:31', '2020-05-29T21:12', '101', '6453', '300', 'WA 541', 'SR-71 Blackbird', '476', '9', '23'), 
('Norwegian', '2020-04-27T00:33', '2020-04-27T06:35', '362', '7275', '1000', 'NW 1775', 'E-195', '163', '14', '11'), 
('SAS', '2020-07-13T10:25', '2020-07-14T07:07', '1242', '3510', '300', 'SA 1388', 'E-170', '549', '16', '24'), 
('JetBlue Airways', '2020-07-21T15:25', '2020-07-21T19:28', '243', '865', '300', 'B6 146', 'A330', '394', '4', '23'), 
('WOW Air', '2020-04-02T13:17', '2020-04-02T23:03', '586', '4403', '1000', 'WA 1696', 'A330', '472', '17', '6'), 
('Norwegian', '2020-03-20T16:02', '2020-03-21T07:11', '909', '5915', '300', 'NW 1573', 'A319', '355', '21', '20'), 
('Finnair', '2020-02-22T07:19', '2020-02-23T19:28', '2169', '5960', '500', 'FA 326', 'E-175', '120', '27', '12'), 
('Lufthansa', '2020-11-10T10:39', '2020-11-10T13:35', '176', '7605', '300', 'LH 538', 'A310', '265', '6', '19'), 
('Frontier Airlines', '2020-08-01T18:57', '2020-08-01T23:55', '298', '4092', '500', 'F9 1021', 'E-170', '392', '21', '17'), 
('JetBlue Airways', '2020-02-15T16:30', '2020-02-16T05:39', '789', '2767', '300', 'B6 1238', 'Millennium Falcon', '560', '14', '4'), 
('Lufthansa', '2020-02-28T17:44', '2020-02-28T20:32', '168', '8115', '500', 'LH 1386', 'Boeing 737', '505', '20', '14'), 
('American Airlines', '2020-03-21T18:09', '2020-03-22T16:51', '1362', '2525', '500', 'AA 891', 'A380', '409', '3', '1'), 
('Finnair', '2020-07-04T12:36', '2020-07-04T16:05', '209', '6443', '300', 'FA 312', 'A320', '259', '27', '12'), 
('SAS', '2020-03-15T09:21', '2020-03-15T11:40', '139', '9321', '300', 'SA 1718', 'A380', '128', '25', '9'), 
('Lufthansa', '2020-02-10T08:55', '2020-02-10T19:26', '631', '8964', '500', 'LH 1341', 'CRJ705', '339', '3', '22'), 
('Frontier Airlines', '2020-08-17T04:47', '2020-08-17T17:17', '750', '5629', '500', 'F9 778', 'A321', '120', '14', '5'), 
('Alaska Airlines', '2020-01-02T16:26', '2020-01-02T23:09', '403', '3326', '300', 'AS 1311', 'Boeing 767', '444', '26', '2'), 
('British Airways', '2020-05-21T23:20', '2020-05-21T23:03', '-17', '2706', '500', 'BA 1285', 'E-190', '193', '24', '28'), 
('WOW Air', '2020-03-27T19:21', '2020-03-28T06:34', '673', '7687', '300', 'WA 824', 'A321', '367', '10', '16'), 
('British Airways', '2020-11-05T18:41', '2020-11-06T13:06', '1105', '6031', '300', 'BA 1776', 'CRJ1000', '390', '13', '10'), 
('British Airways', '2020-02-06T19:06', '2020-02-06T22:53', '227', '6788', '200', 'BA 1129', 'A330', '426', '6', '23'), 
('WOW Air', '2020-07-09T03:43', '2020-07-10T19:18', '2375', '3626', '300', 'WA 845', 'Boeing 787', '390', '28', '7'), 
('Delta Air Lines', '2020-03-10T19:59', '2020-03-10T21:49', '110', '4763', '1000', 'DL 1089', 'Boeing 747', '299', '15', '12'), 
('Lufthansa', '2020-10-04T06:06', '2020-10-04T15:52', '586', '4152', '500', 'LH 1761', 'A319', '523', '16', '29'), 
('Air Canada', '2020-06-17T16:43', '2020-06-18T09:52', '1029', '8021', '300', 'AC 824', 'CRJ705', '412', '26', '14'), 
('Alaska Airlines', '2020-09-19T12:13', '2020-09-20T19:42', '1889', '9257', '200', 'AS 765', 'A310', '472', '19', '1'), 
('Finnair', '2020-11-18T01:27', '2020-11-19T23:07', '2740', '4346', '300', 'FA 1716', 'CRJ700', '327', '17', '6'), 
('Norwegian', '2020-11-17T09:48', '2020-11-18T16:11', '1823', '7515', '300', 'NW 1487', 'A300', '239', '3', '12'), 
('SAS', '2020-04-02T21:16', '2020-04-03T10:09', '773', '6303', '300', 'SA 1769', 'CRJ705', '359', '18', '10'), 
('Alaska Airlines', '2020-03-12T01:57', '2020-03-13T19:03', '2466', '8596', '300', 'AS 1044', 'A300', '248', '28', '27'), 
('British Airways', '2020-10-09T20:13', '2020-10-09T22:07', '114', '5036', '500', 'BA 862', 'CRJ705', '155', '18', '0'), 
('Norwegian', '2020-11-30T20:43', '2020-11-30T22:28', '105', '8812', '300', 'NW 831', 'CRJ700', '447', '21', '10'), 
('SAS', '2020-06-27T02:43', '2020-06-28T08:15', '1772', '1965', '1000', 'SA 1822', 'E-170', '321', '0', '17'), 
('Frontier Airlines', '2020-09-08T15:14', '2020-09-09T16:56', '1542', '3956', '300', 'F9 1216', 'A220', '581', '1', '9'), 
('SAS', '2020-03-22T17:27', '2020-03-23T13:44', '1217', '5988', '300', 'SA 1863', 'E-195', '306', '13', '1'), 
('Air Canada', '2020-08-14T08:34', '2020-08-15T18:14', '2020', '9341', '300', 'AC 1276', 'CRJ900', '543', '17', '21'), 
('SAS', '2020-02-19T12:06', '2020-02-19T22:40', '634', '8246', '500', 'SA 1452', 'A350', '268', '18', '11'), 
('Lufthansa', '2020-07-09T09:31', '2020-07-10T14:38', '1747', '1575', '1000', 'LH 1336', 'A318', '356', '17', '11'), 
('British Airways', '2020-09-14T21:14', '2020-09-14T23:32', '138', '9185', '1000', 'BA 839', 'E-195', '74', '26', '27'), 
('JetBlue Airways', '2020-07-06T08:18', '2020-07-07T12:47', '1709', '6075', '300', 'B6 179', 'E-195', '343', '25', '2'), 
('Air Canada', '2020-06-05T07:48', '2020-06-06T21:03', '2235', '3503', '500', 'AC 1710', 'E-195', '253', '14', '12'), 
('American Airlines', '2020-05-14T15:27', '2020-05-15T14:30', '1383', '746', '1000', 'AA 141', 'CRJ900', '526', '28', '15'), 
('Delta Air Lines', '2020-05-16T02:36', '2020-05-17T20:40', '2524', '1379', '500', 'DL 258', 'A300', '379', '29', '9'), 
('American Airlines', '2020-07-10T06:42', '2020-07-10T08:42', '120', '5627', '300', 'AA 788', 'A319', '543', '10', '24'), 
('Alaska Airlines', '2020-04-21T18:00', '2020-04-22T11:07', '1027', '3560', '1000', 'AS 670', 'A300', '256', '26', '9'), 
('Lufthansa', '2020-03-06T06:48', '2020-03-06T19:39', '771', '4324', '200', 'LH 849', 'CRJ900', '290', '20', '16'), 
('Lufthansa', '2020-03-20T10:26', '2020-03-20T12:43', '137', '3245', '500', 'LH 1968', 'CRJ700', '404', '7', '3'), 
('Norwegian', '2020-02-08T09:06', '2020-02-08T21:42', '756', '7818', '500', 'NW 1645', 'Boeing 747', '138', '16', '11'), 
('Lufthansa', '2020-06-18T15:07', '2020-06-18T18:21', '194', '3023', '500', 'LH 1186', 'CRJ900', '542', '21', '16'), 
('Norwegian', '2020-12-07T12:53', '2020-12-08T19:43', '1850', '4642', '1000', 'NW 1510', 'A318', '455', '11', '9'), 
('British Airways', '2020-12-21T15:45', '2020-12-22T14:05', '1340', '5547', '200', 'BA 1713', 'CRJ700', '418', '0', '5'), 
('Delta Air Lines', '2020-04-15T00:20', '2020-04-15T05:57', '337', '2522', '1000', 'DL 867', 'E-175', '62', '27', '10'), 
('Frontier Airlines', '2020-10-11T18:09', '2020-10-11T21:12', '183', '5630', '200', 'F9 1552', 'A310', '520', '15', '23'), 
('Finnair', '2020-12-17T19:57', '2020-12-18T04:50', '533', '4575', '1000', 'FA 1830', 'E-175', '565', '10', '20'), 
('Lufthansa', '2020-05-15T13:40', '2020-05-16T17:21', '1661', '9678', '500', 'LH 1053', 'A220', '304', '21', '18'), 
('WOW Air', '2020-09-11T07:33', '2020-09-12T21:21', '2268', '1040', '300', 'WA 1001', 'A319', '87', '7', '28'), 
('Lufthansa', '2020-09-17T22:25', '2020-09-18T03:23', '298', '2999', '300', 'LH 1918', 'Millennium Falcon', '582', '18', '25'), 
('Finnair', '2020-07-22T01:30', '2020-07-22T20:42', '1152', '6329', '500', 'FA 1878', 'CRJ900', '312', '13', '15'), 
('Frontier Airlines', '2020-04-13T05:55', '2020-04-13T12:53', '418', '9893', '500', 'F9 1900', 'E-170', '150', '4', '5'), 
('JetBlue Airways', '2020-03-19T00:16', '2020-03-20T20:11', '2635', '1491', '200', 'B6 1276', 'E-190', '171', '25', '9'), 
('British Airways', '2020-10-13T08:44', '2020-10-13T17:46', '542', '1641', '500', 'BA 653', 'Boeing 777', '583', '11', '8'), 
('Frontier Airlines', '2020-04-20T17:30', '2020-04-20T22:36', '306', '7463', '300', 'F9 1018', 'Boeing 777', '311', '9', '28'), 
('Delta Air Lines', '2020-06-11T18:47', '2020-06-11T22:23', '216', '4669', '500', 'DL 1187', 'Boeing 737', '240', '24', '17'), 
('JetBlue Airways', '2020-03-18T10:02', '2020-03-18T18:35', '513', '8932', '300', 'B6 874', 'CRJ1000', '542', '2', '5'), 
