('British Airways', '2019-02-24T16:17', '2019-02-25T17:20', '1503', '4184', '200', 'BA 1425', 'E-170', '477', '14', '15'), 
('Alaska Airlines', '2018-10-02T13:04', '2018-10-02T19:48', '404', '8300', '1000', 'AS 1933', 'E-170', '331', '8', '17'), 
('Air Canada', '2019-02-22T16:52', '2019-02-22T21:24', '272', '1268', '500', 'AC 1445', 'A300', '56', '10', '9'), 
('Norwegian', '2019-06-23T04:12', '2019-06-24T07:05', '1613', '6158', '500', 'NW 131', 'A330', '420', '1', '19'), 
('Air Canada', '2018-07-28T22:36', '2018-07-28T24:21', '105', '4438', '500', 'AC 434', 'CRJ705', '563', '7', '24'), 
('WOW Air', '2019-09-04T22:47', '2019-09-05T01:54', '187', '5983', '300', 'WA 1162', 'A318', '304', '17', '2'), 
('British Airways', '2018-10-11T09:54', '2018-10-11T17:12', '438', '9623', '1000', 'BA 901', 'A220', '222', '1', '26'), 
('Norwegian', '2019-04-13T23:33', '2019-04-14T19:21', '1188', '4036', '200', 'NW 1346', 'CRJ700', '546', '8', '7'), 
('Frontier Airlines', '2018-05-12T23:46', '2018-05-12T24:44', '58', '6914', '500', 'F9 804', 'A319', '479', '13', '18'), 
('Air Canada', '2018-07-12T21:25', '2018-07-12T23:44', '139', '5380', '500', 'AC 1088', 'E-170', '180', '27', '23'), 
('SAS', '2019-03-27T19:13', '2019-03-28T21:22', '1569', '8365', '500', 'SA 1413', 'Boeing 747', '570', '13', '25'), 
('Delta Air Lines', '2019-05-24T09:21', '2019-05-25T04:27', '1146', '5743', '300', 'DL 1819', 'Boeing 787', '344', '23', '15'), 
('Frontier Airlines', '2019-08-19T11:19', '2019-08-20T12:50', '1531', '3169', '300', 'F9 1658', 'SR-71 Blackbird', '462', '14', '11'), 
('Delta Air Lines', '2018-09-17T04:38', '2018-09-17T22:14', '1056', '644', '300', 'DL 1672', 'E-190', '509', '9', '4'), 
('Delta Air Lines', '2018-12-03T13:43', '2018-12-04T03:47', '844', '7361', '300', 'DL 1953', 'A310', '149', '19', '13'), 
('Lufthansa', '2018-05-27T16:13', '2018-05-28T07:30', '917', '5812', '1000', 'LH 1286', 'Boeing 737', '141', '1', '23'), 
('Delta Air Lines', '2018-10-03T13:48', '2018-10-03T15:52', '124', '3908', '500', 'DL 1451', 'CRJ705', '226', '13', '16'), 
('British Airways', '2018-02-26T03:58', '2018-02-26T15:17', '679', '8220', '500', 'BA 1458', 'Boeing 787', '338', '19', '3'), 
('Lufthansa', '2019-10-24T01:48', '2019-10-24T12:20', '632', '7820', '500', 'LH 119', 'E-170', '107', '5', '10'), 
('Alaska Airlines', '2019-06-18T22:05', '2019-06-18T23:04', '59', '6253', '300', 'AS 1951', 'Boeing 777', '168', '11', '9'), 
('British Airways', '2019-06-11T04:08', '2019-06-12T12:29', '1941', '5388', '200', 'BA 1618', 'E-195', '493', '6', '3'), 
('SAS', '2018-04-18T12:34', '2018-04-19T07:37', '1143', '9815', '500', 'SA 1716', 'A330', '311', '18', '25'), 
('Lufthansa', '2019-01-13T07:40', '2019-01-13T22:36', '896', '1277', '200', 'LH 1228', 'Boeing 767', '268', '25', '19'), 
('Lufthansa', '2019-05-21T09:53', '2019-05-22T18:49', '1976', '8078', '1000', 'LH 1779', 'CRJ900', '200', '20', '11'), 
('SAS', '2019-03-12T06:24', '2019-03-12T23:57', '1053', '1319', '500', 'SA 1427', 'A319', '506', '2', '4'), 
('SAS', '2018-04-19T12:45', '2018-04-20T10:47', '1322', '3962', '500', 'SA 710', 'A310', '541', '14', '26'), 
('Frontier Airlines', '2018-08-19T07:37', '2018-08-19T19:44', '727', '6850', '300', 'F9 766', 'CRJ900', '366', '16', '28'), 
('Alaska Airlines', '2018-03-19T11:03', '2018-03-20T16:30', '1767', '2968', '1000', 'AS 1893', 'E-175', '67', '22', '11'), 
('Norwegian', '2018-04-21T00:59', '2018-04-22T15:51', '2332', '9029', '200', 'NW 1286', 'E-195', '88', '6', '10'), 
('Lufthansa', '2019-12-30T02:09', '2019-12-30T22:07', '1198', '7677', '200', 'LH 526', 'Boeing 767', '426', '29', '11'), 
('Norwegian', '2019-08-30T23:41', '2019-08-30T25:21', '100', '2750', '200', 'NW 1746', 'Boeing 787', '470', '14', '4'), 
('Delta Air Lines', '2019-02-17T18:44', '2019-02-18T11:58', '1034', '5439', '500', 'DL 1708', 'A318', '262', '16', '21'), 
('American Airlines', '2019-01-20T02:46', '2019-01-21T18:18', '2372', '1238', '500', 'AA 1015', 'A310', '474', '1', '9'), 
('SAS', '2019-11-04T03:43', '2019-11-05T23:52', '2649', '7157', '500', 'SA 1903', 'A320', '568', '23', '10'), 
('SAS', '2019-09-14T01:33', '2019-09-15T03:23', '1550', '1938', '200', 'SA 874', 'E-195', '357', '19', '23'), 
('Finnair', '2018-11-03T04:35', '2018-11-03T20:00', '925', '3010', '1000', 'FA 1360', 'SR-71 Blackbird', '255', '20', '6'), 
('Alaska Airlines', '2018-08-12T17:50', '2018-08-12T20:17', '147', '6586', '200', 'AS 966', 'Boeing 767', '466', '2', '12'), 
('Lufthansa', '2019-11-27T03:07', '2019-11-27T13:11', '604', '6743', '300', 'LH 600', 'Millennium Falcon', '217', '11', '21'), 
('Delta Air Lines', '2019-11-24T07:38', '2019-11-25T23:37', '2399', '679', '500', 'DL 1259', 'A321', '438', '20', '9'), 
('Alaska Airlines', '2018-05-28T00:18', '2018-05-29T18:55', '2557', '896', '300', 'AS 558', 'Boeing 747', '525', '17', '25'), 
('Lufthansa', '2019-01-08T13:01', '2019-01-09T08:27', '1166', '6454', '300', 'LH 576', 'A350', '287', '16', '9'), 
('Delta Air Lines', '2019-08-14T22:37', '2019-08-15T10:10', '693', '952', '200', 'DL 1319', 'Boeing 737', '169', '20', '13'), 
('Norwegian', '2019-02-20T17:07', '2019-02-21T11:28', '1101', '9594', '300', 'NW 732', 'A321', '105', '6', '29'), 
('SAS', '2018-03-11T10:01', '2018-03-12T19:26', '2005', '6894', '300', 'SA 1581', 'A321', '555', '22', '6'), 
('Air Canada', '2019-09-21T17:14', '2019-09-22T12:35', '1161', '3507', '300', 'AC 826', 'A320', '250', '22', '2'), 
('Lufthansa', '2018-11-05T12:57', '2018-11-05T22:40', '583', '7389', '500', 'LH 1582', 'Millennium Falcon', '454', '10', '24'), 
('SAS', '2019-09-15T06:37', '2019-09-15T21:58', '921', '7562', '300', 'SA 1526', 'A319', '61', '8', '23'), 
('Finnair', '2018-04-21T12:32', '2018-04-21T23:04', '632', '6985', '200', 'FA 1347', 'A380', '70', '12', '11'), 
('British Airways', '2019-04-18T17:28', '2019-04-18T20:06', '158', '5126', '300', 'BA 849', 'CRJ700', '430', '24', '6'), 
('Finnair', '2019-07-17T21:57', '2019-07-17T23:01', '64', '4180', '500', 'FA 1949', 'Boeing 787', '595', '11', '8'), 
('SAS', '2018-02-28T21:19', '2018-02-28T23:47', '148', '1010', '500', 'SA 1269', 'A319', '107', '24', '14'), 
('Lufthansa', '2018-07-22T05:51', '2018-07-22T07:24', '93', '3986', '1000', 'LH 558', 'CRJ705', '354', '16', '26'), 
('WOW Air', '2018-05-24T06:38', '2018-05-25T14:35', '1917', '9450', '500', 'WA 1931', 'A330', '346', '12', '17'), 
('SAS', '2018-01-29T15:54', '2018-01-29T20:31', '277', '4130', '200', 'SA 1451', 'Boeing 737', '357', '5', '23'), 
('Air Canada', '2019-02-02T18:22', '2019-02-03T17:47', '1405', '3017', '1000', 'AC 1612', 'A300', '139', '8', '2'), 
('Finnair', '2019-11-26T14:42', '2019-11-26T18:19', '217', '863', '500', 'FA 439', 'A220', '150', '29', '13'), 
('Frontier Airlines', '2019-08-22T18:26', '2019-08-23T17:42', '1396', '3762', '500', 'F9 564', 'A330', '397', '0', '26'), 
('Finnair', '2019-10-06T08:54', '2019-10-07T02:22', '1048', '9216', '500', 'FA 1428', 'Boeing 767', '548', '18', '28'), 
('JetBlue Airways', '2019-11-27T03:14', '2019-11-27T12:17', '543', '7885', '300', 'B6 1838', 'A310', '239', '14', '8'), 
('Air Canada', '2018-02-15T17:24', '2018-02-16T13:16', '1192', '8715', '300', 'AC 1115', 'E-195', '356', '20', '18'), 
('Air Canada', '2018-06-17T06:13', '2018-06-17T21:18', '905', '9474', '300', 'AC 747', 'A220', '190', '11', '15'), 
('SAS', '2018-04-13T17:13', '2018-04-13T22:36', '323', '5744', '200', 'SA 1037', 'Boeing 787', '512', '28', '18'), 
('JetBlue Airways', '2019-11-27T11:51', '2019-11-28T08:35', '1244', '5526', '300', 'B6 783', 'Boeing 737', '89', '19', '6'), 
('Delta Air Lines', '2018-06-28T06:34', '2018-06-28T18:39', '725', '8192', '300', 'DL 666', 'A310', '142', '21', '17'), 
('Frontier Airlines', '2018-07-11T21:43', '2018-07-11T23:52', '129', '2888', '500', 'F9 178', 'Boeing 777', '263', '19', '10'), 
('Delta Air Lines', '2019-03-03T11:13', '2019-03-03T18:46', '453', '7360', '300', 'DL 751', 'E-190', '526', '28', '3'), 
('JetBlue Airways', '2018-02-29T01:57', '2018-02-29T16:17', '860', '9705', '500', 'B6 1948', 'Boeing 747', '248', '9', '16'), 
('American Airlines', '2018-03-04T06:38', '2018-03-04T19:20', '762', '9057', '200', 'AA 249', 'Millennium Falcon', '557', '1', '5'), 
('JetBlue Airways', '2018-06-04T16:02', '2018-06-05T15:25', '1403', '8499', '500', 'B6 726', 'SR-71 Blackbird', '191', '20', '13'), 
('American Airlines', '2019-06-09T06:03', '2019-06-10T03:34', '1291', '859', '300', 'AA 816', 'Boeing 737', '125', '15', '24'), 
('Norwegian', '2018-11-21T11:34', '2018-11-21T19:51', '497', '4763', '300', 'NW 1252', 'E-195', '321', '28', '29'), 
('British Airways', '2018-10-22T17:59', '2018-10-23T13:51', '1192', '8455', '300', 'BA 1715', 'E-175', '425', '27', '12'), 
('Norwegian', '2019-03-12T23:14', '2019-03-13T17:27', '1093', '7860', '500', 'NW 1720', 'A300', '239', '1', '4'), 
('Finnair', '2019-07-21T04:25', '2019-07-22T18:34', '2289', '2718', '500', 'FA 1084', 'E-190', '472', '0', '29'), 
('SAS', '2018-06-20T10:49', '2018-06-21T09:23', '1354', '4700', '300', 'SA 789', 'CRJ900', '110', '8', '12'), 
('Norwegian', '2018-07-27T19:16', '2018-07-28T21:19', '1563', '7711', '200', 'NW 650', 'CRJ705', '150', '16', '14'), 
('Air Canada', '2019-02-27T22:03', '2019-02-28T09:54', '711', '7952', '500', 'AC 1772', 'A380', '459', '12', '18'), 
('Lufthansa', '2018-12-25T04:41', '2018-12-25T15:24', '643', '9872', '300', 'LH 1330', 'Boeing 747', '153', '27', '26'), 
('SAS', '2018-05-13T00:54', '2018-05-14T17:56', '2462', '9682', '300', 'SA 644', 'A310', '169', '22', '19'), 
('Norwegian', '2019-07-04T17:14', '2019-07-04T21:56', '282', '4045', '1000', 'NW 1570', 'CRJ705', '416', '5', '12'), 
('JetBlue Airways', '2019-07-21T22:29', '2019-07-22T03:30', '301', '9948', '300', 'B6 1312', 'E-190', '311', '18', '10'), 
('SAS', '2018-02-12T19:26', '2018-02-12T22:59', '213', '5330', '1000', 'SA 1956', 'CRJ705', '529', '9', '23'), 
('Norwegian', '2019-07-14T13:06', '2019-07-15T09:09', '1203', '7631', '200', 'NW 1212', 'A220', '531', '12', '22'), 
('Frontier Airlines', '2018-09-29T17:21', '2018-09-29T20:38', '197', '6877', '1000', 'F9 1224', 'E-170', '397', '7', '9'), 
('Lufthansa', '2018-09-07T02:05', '2018-09-08T19:15', '2470', '2942', '200', 'LH 1248', 'SR-71 Blackbird', '454', '6', '12'), 
('JetBlue Airways', '2019-09-24T16:58', '2019-09-25T03:08', '610', '1751', '200', 'B6 1633', 'A300', '122', '27', '28'), 
('Norwegian', '2018-03-21T13:34', '2018-03-21T21:04', '450', '3399', '1000', 'NW 1626', 'A320', '505', '26', '7'), 
('Finnair', '2019-08-02T01:44', '2019-08-02T19:20', '1056', '994', '500', 'FA 1679', 'E-175', '425', '1', '24'), 
('Delta Air Lines', '2018-07-16T14:11', '2018-07-17T04:00', '829', '4848', '1000', 'DL 1397', 'E-175', '323', '6', '12'), 
('Norwegian', '2018-07-04T04:21', '2018-07-04T10:55', '394', '7971', '500', 'NW 659', 'A318', '220', '28', '21'), 
('Delta Air Lines', '2018-09-09T06:11', '2018-09-09T18:45', '754', '9750', '200', 'DL 708', 'E-170', '147', '2', '1'), 
('Norwegian', '2018-11-28T22:20', '2018-11-29T08:56', '636', '6968', '300', 'NW 995', 'A318', '565', '19', '5'), 
('Delta Air Lines', '2019-12-19T13:08', '2019-12-20T21:41', '1953', '4960', '500', 'DL 107', 'Boeing 777', '294', '6', '28'), 
('Delta Air Lines', '2019-02-18T11:12', '2019-02-19T02:13', '901', '2692', '1000', 'DL 1058', 'E-190', '392', '5', '7'), 
('Air Canada', '2018-05-23T15:19', '2018-05-24T09:43', '1104', '2147', '300', 'AC 1475', 'A340', '293', '29', '26'), 
('Alaska Airlines', '2019-09-18T06:10', '2019-09-19T20:06', '2276', '7841', '300', 'AS 1404', 'CRJ1000', '512', '8', '24'), 
('SAS', '2019-04-10T15:39', '2019-04-10T22:19', '400', '9898', '300', 'SA 1193', 'A330', '305', '19', '27'), 
('Lufthansa', '2019-04-21T13:41', '2019-04-21T21:25', '464', '9303', '500', 'LH 101', 'Boeing 787', '353', '23', '25'), 
('Delta Air Lines', '2019-09-08T20:51', '2019-09-08T23:14', '143', '9826', '1000', 'DL 145', 'Boeing 787', '446', '24', '16'), 
('Air Canada', '2018-11-28T20:56', '2018-11-29T17:02', '1206', '9671', '200', 'AC 271', 'CRJ700', '350', '28', '16'), 
('Lufthansa', '2019-08-16T09:24', '2019-08-17T11:02', '1538', '6006', '1000', 'LH 924', 'E-170', '290', '5', '4'), 
('Norwegian', '2018-06-04T03:53', '2018-06-05T09:35', '1782', '2608', '500', 'NW 534', 'SR-71 Blackbird', '413', '2', '25'), 
('Alaska Airlines', '2019-01-13T14:12', '2019-01-13T18:37', '265', '3307', '300', 'AS 1558', 'A310', '582', '5', '23'), 
('Lufthansa', '2018-04-15T16:53', '2018-04-15T20:32', '219', '3314', '500', 'LH 111', 'Boeing 737', '279', '29', '20'), 
('Finnair', '2018-03-02T05:07', '2018-03-02T23:45', '1118', '9868', '300', 'FA 124', 'A380', '592', '28', '24'), 
('SAS', '2018-02-28T23:07', '2018-02-28T23:53', '46', '4039', '300', 'SA 229', 'CRJ700', '526', '1', '2'), 
('Lufthansa', '2018-11-26T15:54', '2018-11-26T22:28', '394', '1457', '300', 'LH 459', 'E-175', '249', '16', '11'), 
('Alaska Airlines', '2018-11-30T21:48', '2018-11-30T23:13', '85', '1281', '200', 'AS 1864', 'CRJ705', '203', '28', '25'), 
('Finnair', '2018-06-16T12:06', '2018-06-16T19:39', '453', '3664', '500', 'FA 358', 'A330', '192', '4', '2'), 
('Norwegian', '2018-11-04T18:24', '2018-11-05T17:46', '1402', '1280', '300', 'NW 1356', 'CRJ1000', '500', '25', '26'), 
('Finnair', '2018-08-25T03:01', '2018-08-26T01:16', '1335', '9326', '1000', 'FA 1465', 'A310', '131', '3', '28'), 
('SAS', '2018-04-07T07:49', '2018-04-07T18:05', '616', '2267', '200', 'SA 986', 'A380', '319', '26', '17'), 
('WOW Air', '2019-08-24T13:17', '2019-08-24T21:24', '487', '5079', '300', 'WA 386', 'Boeing 767', '64', '19', '2'), 
('Alaska Airlines', '2018-07-03T01:03', '2018-07-03T04:14', '191', '4144', '1000', 'AS 133', 'E-190', '240', '3', '5'), 
('Lufthansa', '2019-09-20T10:37', '2019-09-21T12:43', '1566', '3529', '1000', 'LH 889', 'Boeing 767', '359', '26', '10'), 
('Finnair', '2019-03-13T07:19', '2019-03-14T22:39', '2360', '8397', '500', 'FA 1177', 'Millennium Falcon', '513', '23', '22'), 
('JetBlue Airways', '2019-04-14T21:06', '2019-04-15T21:07', '1441', '3975', '200', 'B6 1234', 'CRJ700', '133', '8', '10'), 
('JetBlue Airways', '2019-02-20T16:50', '2019-02-21T12:31', '1181', '7081', '1000', 'B6 287', 'CRJ900', '404', '25', '11'), 
('Frontier Airlines', '2019-09-16T01:31', '2019-09-16T20:17', '1126', '2983', '300', 'F9 275', 'A220', '361', '9', '26'), 
('British Airways', '2019-08-12T13:42', '2019-08-12T22:32', '530', '5793', '300', 'BA 1438', 'A340', '65', '10', '9'), 
('Air Canada', '2018-08-12T14:19', '2018-08-13T14:05', '1426', '9123', '300', 'AC 372', 'A321', '401', '1', '18'), 
('Frontier Airlines', '2018-02-02T04:18', '2018-02-03T01:02', '1244', '7592', '500', 'F9 799', 'CRJ705', '95', '17', '7'), 
('Air Canada', '2019-09-08T17:47', '2019-09-09T20:18', '1591', '8185', '500', 'AC 1189', 'E-170', '255', '12', '2'), 
('Finnair', '2018-12-12T12:28', '2018-12-12T21:27', '539', '8562', '1000', 'FA 962', 'E-190', '555', '6', '20'), 
('Norwegian', '2018-07-29T13:38', '2018-07-29T22:36', '538', '2044', '300', 'NW 1256', 'E-170', '158', '2', '21'), 
('Finnair', '2018-04-11T17:08', '2018-04-12T09:28', '980', '1384', '300', 'FA 475', 'E-175', '522', '2', '21'), 
('Frontier Airlines', '2018-08-29T22:23', '2018-08-30T16:35', '1092', '2468', '500', 'F9 1827', 'E-175', '353', '25', '11'), 
('Air Canada', '2018-11-20T01:56', '2018-11-21T12:48', '2092', '5735', '300', 'AC 717', 'CRJ900', '286', '5', '7'), 
('WOW Air', '2019-09-19T14:53', '2019-09-19T16:17', '84', '7076', '200', 'WA 1579', 'A380', '169', '4', '22'), 
('SAS', '2018-08-18T21:50', '2018-08-19T04:05', '375', '5389', '300', 'SA 695', 'Boeing 777', '450', '8', '29'), 
('Finnair', '2018-03-09T21:25', '2018-03-09T23:09', '104', '3019', '500', 'FA 801', 'E-175', '349', '24', '21'), 
('Air Canada', '2018-09-22T04:19', '2018-09-23T15:13', '2094', '2673', '200', 'AC 1796', 'A330', '479', '29', '7'), 
('Air Canada', '2019-10-25T17:31', '2019-10-25T20:06', '155', '2726', '200', 'AC 1441', 'A318', '319', '25', '0'), 
('Air Canada', '2019-03-18T10:14', '2019-03-19T21:46', '2132', '6287', '300', 'AC 1749', 'A321', '546', '25', '24'), 
('Finnair', '2018-11-27T15:40', '2018-11-28T06:25', '885', '7011', '500', 'FA 780', 'E-175', '583', '25', '0'), 
('Frontier Airlines', '2019-07-25T06:34', '2019-07-25T13:40', '426', '1041', '300', 'F9 160', 'Boeing 787', '173', '16', '22'), 
('Norwegian', '2019-08-16T19:37', '2019-08-17T10:33', '896', '7357', '500', 'NW 1538', 'A340', '541', '28', '6'), 
('Finnair', '2019-11-27T09:01', '2019-11-27T16:54', '473', '9772', '1000', 'FA 1201', 'E-190', '274', '12', '11'), 
('WOW Air', '2019-05-30T09:49', '2019-05-30T12:07', '138', '9843', '500', 'WA 1649', 'A380', '249', '24', '11'), 
('Delta Air Lines', '2018-10-26T22:36', '2018-10-26T23:57', '81', '5119', '500', 'DL 1450', 'A340', '152', '11', '8'), 
('American Airlines', '2018-03-22T04:45', '2018-03-22T12:59', '494', '7236', '500', 'AA 425', 'A310', '530', '6', '4'), 
('Frontier Airlines', '2018-05-18T10:38', '2018-05-19T12:38', '1560', '8720', '300', 'F9 1544', 'A380', '426', '24', '6'), 
('Frontier Airlines', '2019-02-10T02:56', '2019-02-11T19:39', '2443', '6248', '200', 'F9 1816', 'A310', '506', '25', '14'), 
('Air Canada', '2019-11-17T11:44', '2019-11-18T19:48', '1924', '2582', '200', 'AC 1996', 'A310', '589', '3', '18'), 
('British Airways', '2018-04-15T11:05', '2018-04-16T04:22', '1037', '8215', '200', 'BA 1169', 'CRJ900', '65', '21', '1'), 
('Finnair', '2019-10-19T18:38', '2019-10-20T05:57', '679', '1466', '1000', 'FA 334', 'CRJ1000', '455', '5', '28'), 
('Norwegian', '2018-07-15T03:54', '2018-07-16T02:35', '1361', '3456', '1000', 'NW 1334', 'A319', '424', '12', '11'), 
('JetBlue Airways', '2018-08-18T18:41', '2018-08-19T16:17', '1296', '2074', '500', 'B6 869', 'E-175', '572', '11', '25'), 
('JetBlue Airways', '2019-08-14T23:08', '2019-08-14T24:07', '59', '9029', '500', 'B6 189', 'A319', '600', '4', '6'), 
('Air Canada', '2019-03-02T11:04', '2019-03-02T14:19', '195', '7841', '200', 'AC 1296', 'Boeing 777', '504', '3', '20'), 
('SAS', '2019-05-27T09:55', '2019-05-28T09:00', '1385', '7720', '300', 'SA 661', 'A220', '205', '22', '14'), 
('Frontier Airlines', '2018-09-04T06:58', '2018-09-05T03:02', '1204', '9834', '200', 'F9 474', 'E-195', '339', '18', '10'), 
('JetBlue Airways', '2019-07-23T05:45', '2019-07-23T09:08', '203', '8513', '1000', 'B6 1086', 'A318', '576', '15', '14'), 
('Alaska Airlines', '2018-11-16T11:58', '2018-11-16T16:12', '254', '3462', '500', 'AS 1031', 'E-190', '224', '26', '10'), 
('SAS', '2018-02-14T04:16', '2018-02-15T20:03', '2387', '9205', '200', 'SA 408', 'A300', '256', '9', '22'), 
('Norwegian', '2018-09-13T02:46', '2018-09-13T09:36', '410', '7317', '500', 'NW 1114', 'E-175', '173', '27', '22'), 
('Air Canada', '2018-02-15T17:28', '2018-02-16T07:04', '816', '9342', '500', 'AC 969', 'SR-71 Blackbird', '221', '5', '13'), 
('Alaska Airlines', '2018-04-03T10:48', '2018-04-03T21:00', '612', '7325', '300', 'AS 1882', 'CRJ900', '100', '9', '20'), 
('JetBlue Airways', '2018-03-23T11:49', '2018-03-24T21:19', '2010', '9618', '1000', 'B6 478', 'A319', '530', '15', '28'), 
('Norwegian', '2019-04-04T01:24', '2019-04-04T08:23', '419', '1960', '200', 'NW 1035', 'CRJ700', '443', '10', '8'), 
('WOW Air', '2019-06-03T06:39', '2019-06-03T21:15', '876', '4769', '300', 'WA 1085', 'A310', '444', '14', '13'), 
('Delta Air Lines', '2018-10-19T08:50', '2018-10-19T20:15', '685', '6918', '500', 'DL 1697', 'Boeing 747', '281', '26', '23'), 
('SAS', '2019-04-04T18:30', '2019-04-05T02:13', '463', '3943', '500', 'SA 827', 'A318', '246', '21', '12'), 
('Norwegian', '2018-07-23T03:19', '2018-07-24T12:21', '1982', '7943', '300', 'NW 1117', 'A340', '143', '4', '25'), 
('Frontier Airlines', '2019-09-07T20:30', '2019-09-07T23:24', '174', '1696', '300', 'F9 586', 'Boeing 737', '363', '5', '11'), 
('JetBlue Airways', '2018-09-21T15:48', '2018-09-22T22:51', '1863', '2293', '500', 'B6 1698', 'A320', '485', '9', '10'), 
('Norwegian', '2018-08-17T02:49', '2018-08-18T01:42', '1373', '7541', '200', 'NW 771', 'E-190', '369', '11', '16'), 
('JetBlue Airways', '2019-05-22T15:03', '2019-05-22T21:40', '397', '2191', '300', 'B6 1222', 'A350', '428', '26', '12'), 
('British Airways', '2019-07-20T04:02', '2019-07-21T19:48', '2386', '592', '300', 'BA 1540', 'A318', '81', '25', '27'), 
('SAS', '2018-03-22T11:01', '2018-03-23T16:32', '1771', '1010', '1000', 'SA 660', 'A310', '475', '4', '10'), 
('British Airways', '2019-03-11T16:28', '2019-03-12T13:05', '1237', '3400', '300', 'BA 1527', 'E-190', '512', '0', '19'), 
('Alaska Airlines', '2019-09-20T08:08', '2019-09-21T15:29', '1881', '1986', '300', 'AS 654', 'A300', '366', '20', '13'), 
('Frontier Airlines', '2018-04-19T16:49', '2018-04-19T22:19', '330', '6656', '200', 'F9 836', 'SR-71 Blackbird', '356', '5', '12'), 
('Delta Air Lines', '2018-04-24T19:48', '2018-04-25T14:29', '1121', '9282', '300', 'DL 1676', 'CRJ700', '356', '26', '27'), 
('Alaska Airlines', '2018-04-23T13:07', '2018-04-23T20:58', '471', '9917', '200', 'AS 1678', 'A320', '319', '0', '5'), 
('Lufthansa', '2018-05-06T10:06', '2018-05-06T22:58', '772', '1418', '300', 'LH 1458', 'A319', '492', '2', '26'), 
('Frontier Airlines', '2019-01-26T08:28', '2019-01-26T10:01', '93', '4693', '300', 'F9 618', 'Boeing 787', '505', '5', '27'), 
('Lufthansa', '2019-04-27T04:57', '2019-04-27T12:01', '424', '8464', '300', 'LH 450', 'SR-71 Blackbird', '205', '4', '17'), 
('SAS', '2018-02-08T19:27', '2018-02-08T21:10', '103', '1613', '300', 'SA 561', 'A330', '511', '13', '18'), 
('Norwegian', '2019-02-17T20:45', '2019-02-18T11:28', '883', '3189', '1000', 'NW 1467', 'E-170', '410', '28', '9'), 
('Norwegian', '2019-04-16T07:51', '2019-04-17T09:20', '1529', '6294', '500', 'NW 1115', 'A300', '393', '16', '19'), 
('Delta Air Lines', '2019-03-15T05:21', '2019-03-16T01:17', '1196', '9541', '300', 'DL 647', 'A319', '450', '13', '23'), 
('Finnair', '2018-07-10T03:19', '2018-07-10T16:27', '788', '3605', '300', 'FA 950', 'E-170', '458', '21', '4'), 
('American Airlines', '2018-07-11T23:06', '2018-07-11T24:20', '74', '6042', '1000', 'AA 843', 'Boeing 787', '514', '15', '9'), 
('American Airlines', '2019-03-29T02:02', '2019-03-30T20:19', '2537', '1533', '1000', 'AA 1676', 'E-195', '260', '7', '19'), 
('Delta Air Lines', '2019-09-14T07:25', '2019-09-14T10:40', '195', '1158', '300', 'DL 1048', 'A321', '544', '7', '2'), 
('Alaska Airlines', '2019-11-22T20:10', '2019-11-22T22:31', '141', '2874', '500', 'AS 1576', 'A319', '494', '6', '28'), 
('Lufthansa', '2018-01-13T10:08', '2018-01-14T21:34', '2126', '4721', '300', 'LH 1104', 'A380', '257', '6', '21'), 
('Alaska Airlines', '2019-02-26T05:03', '2019-02-27T05:33', '1470', '799', '500', 'AS 205', 'E-170', '418', '5', '10'), 
('WOW Air', '2018-08-28T06:20', '2018-08-28T11:49', '329', '9164', '1000', 'WA 1257', 'A320', '276', '10', '29'), 
('Frontier Airlines', '2018-06-16T01:29', '2018-06-17T15:31', '2282', '8002', '300', 'F9 1778', 'E-195', '344', '3', '1'), 
('Delta Air Lines', '2019-09-28T05:56', '2019-09-29T14:10', '1934', '3354', '500', 'DL 278', 'A340', '225', '16', '5'), 
('Finnair', '2018-02-02T09:28', '2018-02-02T13:27', '239', '2499', '300', 'FA 309', 'CRJ900', '235', '25', '23'), 
('Frontier Airlines', '2018-11-27T04:01', '2018-11-28T15:49', '2148', '2511', '300', 'F9 1103', 'E-190', '62', '22', '15'), 
('Alaska Airlines', '2019-05-22T11:34', '2019-05-23T06:38', '1144', '5242', '500', 'AS 845', 'SR-71 Blackbird', '398', '12', '24'), 
('Alaska Airlines', '2018-12-19T12:02', '2018-12-20T16:49', '1727', '6738', '200', 'AS 795', 'Boeing 767', '221', '19', '23'), 
('Delta Air Lines', '2019-06-27T02:10', '2019-06-27T09:54', '464', '2424', '300', 'DL 1719', 'A380', '213', '21', '2'), 
('Frontier Airlines', '2019-11-22T17:54', '2019-11-23T04:36', '642', '4143', '300', 'F9 962', 'A350', '57', '29', '14'), 
('Alaska Airlines', '2019-02-01T06:13', '2019-02-02T21:10', '2337', '914', '500', 'AS 1964', 'A310', '553', '17', '20'), 
('Alaska Airlines', '2018-05-27T18:09', '2018-05-28T21:28', '1639', '851', '300', 'AS 1417', 'Boeing 767', '126', '28', '18'), 
('Delta Air Lines', '2018-05-21T16:14', '2018-05-22T14:36', '1342', '1563', '500', 'DL 1042', 'A340', '515', '27', '24'), 
('American Airlines', '2018-11-14T14:05', '2018-11-14T21:17', '432', '1689', '1000', 'AA 1076', 'Boeing 777', '476', '28', '7'), 
('British Airways', '2018-02-11T01:08', '2018-02-12T05:53', '1725', '3623', '200', 'BA 1953', 'E-195', '210', '16', '15'), 
